,episode,score,best_score,noise_scale,reward
1,1.0,-2.516914037384235,-2.516914037384235,0.05,-11.903090238633643
2,2.0,-2.4897703646196057,-2.4897703646196057,0.025,-11.785678051100168
3,3.0,-2.4219817182132712,-2.4219817182132712,0.0125,-11.469348044238032
4,4.0,-2.4538991124386316,-2.4219817182132712,0.025,-11.52742168172801
5,5.0,-2.4918639226625476,-2.4219817182132712,0.05,-11.797754588789502
6,6.0,-2.493265333241887,-2.4219817182132712,0.1,-11.65105274347072
7,7.0,-1.1103185681672594,-1.1103185681672594,0.05,-8.045489350766658
8,8.0,-1.5508245349744625,-1.1103185681672594,0.1,-9.152273814370934
9,9.0,-2.424257002994113,-1.1103185681672594,0.2,-11.49433224510812
10,10.0,-2.444466073449285,-1.1103185681672594,0.4,-11.52846206855133
11,11.0,-2.070114303384546,-1.1103185681672594,0.8,-10.285684735790772
12,12.0,-2.469002821639937,-1.1103185681672594,1.6,-11.301024355715375
13,13.0,-2.062588535234096,-1.1103185681672594,3.2,-10.110543551811261
14,14.0,-1.2076856095853927,-1.1103185681672594,3.2,-8.429489646794341
15,15.0,-2.687034920435158,-1.1103185681672594,3.2,-12.020396102393486
16,16.0,-1.816378413264908,-1.1103185681672594,3.2,-10.939685392917049
17,17.0,-1.6112006289626506,-1.1103185681672594,3.2,-9.508261463020348
18,18.0,-0.9213495255497907,-0.9213495255497907,1.6,-7.67658201594039
19,19.0,-1.601807793232057,-0.9213495255497907,3.2,-9.530502747156529
20,20.0,-1.4958610364601137,-0.9213495255497907,3.2,-9.0580017385534
21,21.0,-0.6910036253588542,-0.6910036253588542,1.6,-7.059562032398343
22,22.0,-1.4034543667747723,-0.6910036253588542,3.2,-8.856897176149925
23,23.0,-1.3843763490675958,-0.6910036253588542,3.2,-8.966213020773946
24,24.0,-1.122105510190325,-0.6910036253588542,3.2,-8.432401484154628
25,25.0,-1.2134192657522078,-0.6910036253588542,3.2,-8.317895674970076
26,26.0,-0.9460309848877987,-0.6910036253588542,3.2,-7.827873997826494
27,27.0,-1.2264318903142508,-0.6910036253588542,3.2,-8.50592402352051
28,28.0,-0.9325413396640915,-0.6910036253588542,3.2,-8.14032931335878
29,29.0,-1.5340741665563729,-0.6910036253588542,3.2,-9.416043534269331
30,30.0,-1.6499219823514906,-0.6910036253588542,3.2,-9.293928882900506
31,31.0,-1.2173621804168757,-0.6910036253588542,3.2,-8.464886062818806
32,32.0,-1.4960498041545864,-0.6910036253588542,3.2,-9.465236369480404
33,33.0,-0.9688894514926377,-0.6910036253588542,3.2,-8.119554565679119
34,34.0,-1.026115433603802,-0.6910036253588542,3.2,-7.625380903674766
35,35.0,-1.9309584860296538,-0.6910036253588542,3.2,-11.149963750819262
36,36.0,-1.7051143358673004,-0.6910036253588542,3.2,-9.41379213005283
37,37.0,-0.7089570076679468,-0.6910036253588542,3.2,-6.6887859365233115
38,38.0,-1.2025902454901665,-0.6910036253588542,3.2,-8.471318142987332
39,39.0,-0.8319302015942265,-0.6910036253588542,3.2,-7.838686984217766
40,40.0,-1.9718636873816868,-0.6910036253588542,3.2,-9.867387188596679
41,41.0,-1.569255662899176,-0.6910036253588542,3.2,-9.328473041713247
